"","participant.code","mark","round","Index","nobsr","seqin","name","timestamp","unix_timestamp","secs_since_round_starts","body","delta","price_index","slider_value","clicked_volatility","volatility","exit.price","surv.norm11_invlott","surv.norm11down_invlott","surv.norm11up_invlott","surv.riskat","surv.management","surv.age","surv.gender","subject"
"1","0ey3b4tb",1,1,1,1,10,"Trade_starts","2021-10-31 19:28:17.007611+00:00",1635708497,0,"{'currentPrice': 105.159, 'priceIndex': 10, 'secs_since_round_starts': 0}",5.15900000000001,10,,,0.25,193.789,5,6,5,3,3,34,1,1
"2","0ey3b4tb",1,1,2,2,20,"","",,,"",12.176,,,,0.25,193.789,5,6,5,3,3,34,1,1
"3","0ey3b4tb",1,1,3,3,30,"","",,,"",22.181,,,,0.25,193.789,5,6,5,3,3,34,1,1
"4","0ey3b4tb",1,1,4,4,40,"","",,,"",-0.119,,,,0.25,193.789,5,6,5,3,3,34,1,1
"5","0ey3b4tb",1,1,5,5,50,"","",,,"",7.196,,,,0.25,193.789,5,6,5,3,3,34,1,1
"6","0ey3b4tb",1,1,6,6,60,"","",,,"",8.506,,,,0.25,193.789,5,6,5,3,3,34,1,1
"7","0ey3b4tb",1,1,7,7,70,"slider value changed","2021-10-31 19:28:49.483846+00:00",1635708529,32,"{'sliderValue': 2, 'currentPrice': 165.619, 'priceIndex': 70, 'secs_since_round_starts': 32}",10.52,70,2,,0.25,193.789,5,6,5,3,3,34,1,1
"8","0ey3b4tb",1,1,7,8,70,"slider value changed","2021-10-31 19:28:53.480865+00:00",1635708533,36,"{'sliderValue': 2, 'currentPrice': 165.619, 'priceIndex': 70, 'secs_since_round_starts': 36}",10.52,70,2,,0.25,193.789,5,6,5,3,3,34,1,1
"9","0ey3b4tb",1,1,8,9,80,"sharpChangeDetected","2021-10-31 19:28:58.960377+00:00",1635708538,42,"{'value': 78.827, 'position': 88, 'currentPrice': 169.009, 'priceIndex': 90, 'secs_since_round_starts': 42}",3.38999999999999,90,,,0.25,193.789,5,6,5,3,3,34,1,1
"10","0ey3b4tb",1,1,9,10,90,"slider value changed","2021-10-31 19:28:59.226416+00:00",1635708539,42,"{'sliderValue': 2, 'currentPrice': 81.006, 'priceIndex': 90, 'secs_since_round_starts': 42}",-88.003,90,2,,0.25,193.789,5,6,5,3,3,34,1,1
"11","0ey3b4tb",1,1,9,11,90,"slider value changed","2021-10-31 19:28:59.422767+00:00",1635708539,42,"{'sliderValue': 2, 'currentPrice': 81.006, 'priceIndex': 90, 'secs_since_round_starts': 42}",-88.003,90,2,,0.25,193.789,5,6,5,3,3,34,1,1
"12","0ey3b4tb",1,1,9,12,90,"slider value changed","2021-10-31 19:29:00.073708+00:00",1635708540,43,"{'sliderValue': 2, 'currentPrice': 81.006, 'priceIndex': 90, 'secs_since_round_starts': 43}",-88.003,90,2,,0.25,193.789,5,6,5,3,3,34,1,1
"13","0ey3b4tb",1,1,10,13,100,"","",,,"",9.98099999999999,,,,0.25,193.789,5,6,5,3,3,34,1,1
"14","0ey3b4tb",1,1,11,14,110,"","",,,"",10.193,,,,0.25,193.789,5,6,5,3,3,34,1,1
"15","0ey3b4tb",1,1,12,15,120,"","",,,"",6.744,,,,0.25,193.789,5,6,5,3,3,34,1,1
"16","0ey3b4tb",1,1,13,16,130,"","",,,"",16.703,,,,0.25,193.789,5,6,5,3,3,34,1,1
"17","0ey3b4tb",1,1,14,17,140,"","",,,"",2.33800000000001,,,,0.25,193.789,5,6,5,3,3,34,1,1
"18","0ey3b4tb",1,1,15,18,150,"","",,,"",4.797,,,,0.25,193.789,5,6,5,3,3,34,1,1
"19","0ey3b4tb",1,1,16,19,160,"","",,,"",4.762,,,,0.25,193.789,5,6,5,3,3,34,1,1
"20","0ey3b4tb",1,1,17,20,170,"","",,,"",20.036,,,,0.25,193.789,5,6,5,3,3,34,1,1
"21","0ey3b4tb",1,1,18,21,180,"","",,,"",5.88800000000001,,,,0.25,193.789,5,6,5,3,3,34,1,1
"22","0ey3b4tb",1,1,19,22,190,"","",,,"",11.03,,,,0.25,193.789,5,6,5,3,3,34,1,1
"23","0ey3b4tb",1,1,20,23,200,"","",,,"",-3.31200000000001,,,,0.25,193.789,5,6,5,3,3,34,1,1
"24","0ey3b4tb",1,1,21,24,210,"","",,,"",-0.12700000000001,,,,0.25,193.789,5,6,5,3,3,34,1,1
"25","0ey3b4tb",1,1,22,25,220,"","",,,"",6.721,,,,0.25,193.789,5,6,5,3,3,34,1,1
"26","0ey3b4tb",1,1,23,26,230,"","",,,"",13.131,,,,0.25,193.789,5,6,5,3,3,34,1,1
"27","0ey3b4tb",1,1,24,27,240,"Trade_ends","2021-10-31 19:30:22.981410+00:00",1635708622,126,"{'currentPrice': 193.789, 'priceIndex': 250, 'secs_since_round_starts': 126}",3.898,250,,,0.25,193.789,5,6,5,3,3,34,1,1
"28","0ey3b4tb",1,1,25,28,250,"","",,,"",4.98400000000001,,,,0.25,193.789,5,6,5,3,3,34,1,1
"29","0ey3b4tb",1,2,26,29,10,"Trade_starts","2021-10-31 19:31:10.735456+00:00",1635708670,0,"{'currentPrice': 109.176, 'priceIndex': 10, 'secs_since_round_starts': 0}",9.176,10,,,0.35,20.721,5,6,5,3,3,34,1,1
"30","0ey3b4tb",1,2,27,30,20,"slider value changed","2021-10-31 19:31:19.603582+00:00",1635708679,9,"{'sliderValue': 0, 'currentPrice': 112.087, 'priceIndex': 20, 'secs_since_round_starts': 9}",2.911,20,0,,0.35,20.721,5,6,5,3,3,34,1,1
"31","0ey3b4tb",1,2,27,31,20,"show confirming dialog","2021-10-31 19:31:19.673682+00:00",1635708679,9,"{'currentPrice': 112.087, 'priceIndex': 20, 'secs_since_round_starts': 9}",2.911,20,,,0.35,20.721,5,6,5,3,3,34,1,1
"32","0ey3b4tb",1,2,27,32,20,"Continue keeping","2021-10-31 19:31:21.659999+00:00",1635708681,11,"{'currentPrice': 112.087, 'priceIndex': 20, 'secs_since_round_starts': 11}",2.911,20,,,0.35,20.721,5,6,5,3,3,34,1,1
"33","0ey3b4tb",1,2,27,33,20,"slider value changed","2021-10-31 19:31:23.623076+00:00",1635708683,13,"{'sliderValue': 1, 'currentPrice': 112.087, 'priceIndex': 20, 'secs_since_round_starts': 13}",2.911,20,1,,0.35,20.721,5,6,5,3,3,34,1,1
"34","0ey3b4tb",1,2,28,34,30,"slider value changed","2021-10-31 19:31:27.226149+00:00",1635708687,16,"{'sliderValue': 1, 'currentPrice': 115.497, 'priceIndex': 30, 'secs_since_round_starts': 16}",3.41,30,1,,0.35,20.721,5,6,5,3,3,34,1,1
"35","0ey3b4tb",1,2,28,35,30,"slider value changed","2021-10-31 19:31:29.021598+00:00",1635708689,18,"{'sliderValue': 1, 'currentPrice': 115.497, 'priceIndex': 30, 'secs_since_round_starts': 18}",3.41,30,1,,0.35,20.721,5,6,5,3,3,34,1,1
"36","0ey3b4tb",1,2,29,36,40,"sharpChangeDetected","2021-10-31 19:31:36.951810+00:00",1635708696,26,"{'value': 42.744, 'position': 41, 'currentPrice': 126.803, 'priceIndex': 50, 'secs_since_round_starts': 26}",11.306,50,,,0.35,20.721,5,6,5,3,3,34,1,1
"37","0ey3b4tb",1,2,30,37,50,"","",,,"",-78.92,,,,0.35,20.721,5,6,5,3,3,34,1,1
"38","0ey3b4tb",1,2,31,38,60,"","",,,"",-1.189,,,,0.35,20.721,5,6,5,3,3,34,1,1
"39","0ey3b4tb",1,2,32,39,70,"","",,,"",5.64,,,,0.35,20.721,5,6,5,3,3,34,1,1
